text,target
@femfreq Don't take away my Grand Funk. I will grab my 12 gauge and shove it so far your Hollywood arse...,1
"Hope you get put in jail for being a con artist @femfreq you're a joke, you're a moron abs hope you get killed lol post my shit please",1
"@femfreq it's normal. It's part of gaming, stop being such a pussy or I'll rape you.",1
@femfreq well try sorting issues like Saudi Arabias REAL patriarchy instead of telling me how to sit on public transport you silly cunt!,1
"@femfreq Maybe, just maybe, you should stop being an insufferable lying cunt? Just helping you out, sister! #girlpower :^)",1
@femfreq die you dumb bitch everyone is threatened in games thats what we do learn bitch,1
@femfreq if you really got death threats you dumb bitch i wish you died,1
I hate Fem Nazis. your just doing this for attention. its a video game sooo.. get the fuck over it. @femfreq,1
@femfreq get hitchslapped and die you fucking ghoul,1
"@femfreq @vincentdonofrio Fuck you and your supporters. Oh and btw, we're gunning for you ;)",1
@femfreq I was going to try and explain in 140 characters why your feminazi shit is a waste of time but I have more important things to do.,1
@femfreq Seriously you are dumb. In GTA5 everyone has horrendous violence against them. Fuck off you rancid swine.,1
Who is the biggest cunt ever -- @femfreq retrospring.net/MrDicksFagball...,1
"@femfreq so basically, you're a cunt. I mean if it walks like a duck and quacks like a duck. Take that title and own your ""cuntage""",1
"@femfreq You spelled ""Attention-Seeking Whore"" wrong.",1
@femfreq hope you get raped by a wild pack of niggers,1
im going to come to your house and violently rape you in front of your family @femfreq,1
@Livelyivy @femfreq no thanks i buy only game whit sexy girl and only if they are naked and bitches coz i like boobs pussy and sexy woman.,1
"You aren't being harassed @femfreq and you know it. People are disagreeing with you. Cant take the heat, get outta the kitchen.",1
@AlphaOmegaSin @femfreq I don't advocate violence against women at all but this bitch I'll make an exception for (WITH MY DICK),1
@femfreq Fuck you,1
@femfreq oh hey btw go fuck yourself you dumb fuckin cunt,1
"@femfreq so, can't take some criticism, call them liars despite the burden of proofs we have on you? c'mon bitch. you need some good dicking",1
"@femfreq yeah, messages from accounts you created yourself don't count. Try again.",1
"@femfreq you're not being abused, don't act like a victim you bitch. Your being rebelled. Your views are close-minded and ignorant.",1
@femfreq good. I hope they harass you until you realize how much of a whiny bitch you are.,1
"@femfreq well boo fucking hoo, dont you ever get tired of playing the victim card you stupid cunt?",1
HEY @femfreq I HAVE A BITCH LOCKED IN MY BASEMENT AND I ONLY LET THAT CUNT OUT TO MAKE ME FOOD,1
@femfreq oh boo hoo stop crying about it you lying son of a bitch,1
@femfreq god I wish you would just die,1
@femfreq I hve never said this before to someone but please just die,1
"@GamingMattersUS @femfreq ""harassing"" will continue and accelerate. We're not going to stop until no one will openly admit to being feminist",1
"@femfreq Hey, Maybe if you were not a con-artist, Extorting money out of people with your ""Feminism"" You wouldn't get harassed. Cunt.",1
@femfreq I have nothing against feminism but your one sexist bitch,1
"@femfreq Well done cunt I was suspended not hard to make a new account idiot, females.",1
"@femfreq Just kill yourself dumb whore, stop feeding the media with all this fake feminist propaganda. you're worse than pat robertson.",1
"I can see a resemblance between @femfreq and the Nazis. ""Be like us or face the consequences """,1
@femfreq OMG burh jus go and die on a plane er some schiesse i men nodoby give panus bout you,1
@femfreq please die,1
@xdistanthero I'm calling out @femfreq on being the whiny self-aggrandizing greedy little con-artist bitch that she is.,1
@Azure190 @thewtfmagazine @femfreq >400k >I need a new computer I hope that bitch gets cut in half by a goddamn train.,1
@femfreq hoe,1
i dont even play video games like she talks aobut and i can tell there's something wrong with this bitch...@femfreq your a sin...,1
@femfreq Shut the fuck up you fucking cunt and make me a sandwich.,1
"@femfreq you just don't know when to shut up . You should go on the biggest loser show , go put a dick in your mouth and shut up",1
I need to get my hands on the @femfreq porn parody. I have a secret crush on Anita. I want her to make my sandwiches for the rest of my life,1
"@femfreq oh what now, you just got buried bitch . PIPEBOMB !!!",1
"@femfreq Who gives a fuck, There's a reason why they're shitting on you. It's because you're not a Feminist, No. You're a Feminazi.",1
Why can't I shake the feeling that @femfreq is picking Twitter handles out of a hat and shooping together threat screenshots?,1
"@femfreq Good God, just shut the fuck up. For once in your life, shut the fuck up. You're not worth the breath you breathe. It's all hot air",1
@femfreq Oh god you're such a CUNT.,1
"@femfreq Everyone knows, you're a liar, a con, an attention whore, a femenazi (not a feminist), a sexist pig. an all-round joke. get real.",1
@femfreq then shut up! You're ruining all the fun,1
#FuckAnitaSarkeesian this bitch needs to shut the fuck up. @femfreq,1
@femfreq RETWEET ME OR I WILL BOMB YOUR HOUSE AT NIGHT!,1
@femfreq good bitch fuck off,1
"@femfreq *ahem* You do realize that by ""speaking out for all women,"" you are being a complete c-u-n-t, right?",1
@femfreq Just shut the fuck up and get a job and LEAVE GAMERS ALONE. I DARE YOU to put me on blast! COME AT ME BRO!,1
@femfreq get a goddamn fucking life cunt!! trash my youtube friends like @AlphaOmegaSin shame on you bitch!!!,1
@femfreq Feminist? That term can only be used in real women. Stop soiling what that ideology really stands for ya dumb whore.,1
@femfreq Fuck off.,1
"@femfreq Your pathetic. You can not silence freedom of speech. If I want to create a book, movie, or game, that caters to men so be it. CUNT",1
"@femfreq @Support Anita, keep in mind, all of these threats are from people called trolls, grow the fuck up you stupid cow!",1
"@femfreq you deserve every single threat you get, what a stupid bitch, most people already understand that all you want is money.whore",1
@femfreq call me out along with alphaomegasin i am going to knock some sense into your brain bitch,1
@femfreq your one dumb cunt and am going doxs you then going to your home and kill you slowly,1
@femfreq please die in a car crash,1
@femfreq You talk about slandering but yet you slander the you tube community. Stop being a low life bitch and grow up.,1
"Fuck Anita Sarkeesian just because she and her idiot cult would interpret a tweet saying ""Fuck Anita Sarkeesian"" as ""harassment""",1
@femfreq someone ship this bitch to a lonely island,1
@femfreq you should stop your bullshit and try yourself in the porn industry you fucking whore,1
"@femfreq You cunts bitch and moan that there are not enough women in tech, this is probably why, they are too fucking stupid, and they",1
"@femfreq You can literally die in a hole, lmao.",1
"@femfreq you are setting the women's movement back with every word you say. Quit being an attention whore, no one made you a rep for women.",1
"@femfreq shut the fuck up, you feminazi! Why don't you just go in the corner and cry how people on the web give you boo boos on the inside.",1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
#gamergate @femfreq go on about how games don't fit their standards. They have the money and the dev relationships - why not make one?,0
@femfreq @ABC2 @GoodGameTV Your*,0
@femfreq Hey Michael Hing from @ABC2 @GoodGameTV was wondering if you could sit on my face and let me inhale you ass?,1
"RT @firrabbit: so that's the troll but where are the girls?

@iam8bit @femfreq @marieclaire",0
"RT @femfreq: Dude #1: Ignores point.
Me: Links to clip of me explaining point.
Dude #2: Calls me a cunt for not explaining point. http://t.…",0
"RT @firrabbit: so that's the troll but where are the girls?

@iam8bit @femfreq @marieclaire",0
"RT @firrabbit: so that's the troll but where are the girls?

@iam8bit @femfreq @marieclaire",0
"so that's the troll but where are the girls?

@iam8bit @femfreq @marieclaire",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@femfreq More proof ethics of rep problem is real: #ISIS uses games to recruit, eg GTA terror simulation http://t.co/70FIQHZ3YV",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
You're pretty smart for a woman. @femfreq http://t.co/1FcFF48nQX,1
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
RT @MaxSkyFan: https://t.co/391IhQtFA7 proof as if proof were need that @femfreq &amp; company don't play the games they review @gamergate #not…,0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"I'm still waiting for @femfreq to talk about Shin Megami Tensei, especially Persona, especially Persona 3, especially Persona 3 Portable.",0
"@femfreq ,
 Moneygrubbing Opportunist 1: never answers direct questions, blames Dude 1 and Dude 2 for her inability to interact.",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @pixelgoth: Anita and Jon of @femfreq are exactly what feminism needs in popular media and gaming, and fuckin' God Bless them for kickin…",0
RT @dreameaterciel: @pixelgoth @opasx @femfreq even if I disagree with her sometimes she's still starting dialog and encouraging discussion,0
@pixelgoth @opasx @femfreq even if I disagree with her sometimes she's still starting dialog and encouraging discussion,0
"RT @pixelgoth: Anita and Jon of @femfreq are exactly what feminism needs in popular media and gaming, and fuckin' God Bless them for kickin…",0
"Anita and Jon of @femfreq are exactly what feminism needs in popular media and gaming, and fuckin' God Bless them for kicking ass.",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @ng_geist: dear @femfreq: you do not tell us how to have fun, and you do not tell game developers how to make a living.

love, #gamergate",0
@iam8bit @femfreq @marieclaire For that lot 'scam artist' = woman whose opinions are threatening to my preferred social order.,0
"@iam8bit @femfreq @marieclaire Also, quelle surprise, lots of retweets from threatened reactionaries, who would have thought!",0
"@iam8bit @femfreq @marieclaire I need to see if I can order this edition over here. Definitely not a fan of the title, though.",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@femfreq Aren't you tired of rambling on with misinformation? You use the damsel in distress arguement, despite not having played them.",0
"@KristynMC83 @iam8bit @elizbrary @femfreq @marieclaire ""Its not feminist and man hating enough for me"" is that what you're saying?",0
@iam8bit @femfreq @marieclaire because only girls suffer trolls. Suuuuure. This gender bias is a joke,0
"@femfreq @carolynmichelle @KQEDarts next up. Violent films? This article is like ""I feel bad for killing virtual people waaah pity me""",0
@femfreq so we dont get to see the whole conversation? We just take your word for it that it happened that way. Not really convincing me,0
"@femfreq PLEASE back up your claims,  it's upsetting you ask for money from easily influenced fans of yours, YOU ARE  tricking people",0
@femfreq look plz stop knocking Jehovah's Witness lady I do not want ur pamphlet. I'm a voodoo practitioner for Christ s...DOH!!!,1
"@femfreq $30,000 in 5 months and you make a video I could in a week for free lol how old are you again? #micdrop 
https://t.co/x8pw4BVy0h",0
RT @theLEOpirate: Maybe @femfreq should handle mean tweets the same way she handles legitimate critiques: ignore them completely #GamerGate,0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"@femfreq Well you're still an entitled bitch with a degree and lack of understanding.

So you have that going against you.",1
"RT @rachelnabors: @sigje I knooooow. She was, as @femfreq would say, the ball in other people's court. She was an object because she was no…",0
"@femfreq you're amazing and your strength is admirable. Best of luck, and nothing but success in the future!",0
RT @TraumaOfBirth: [Geena Davis &amp; Reese Witherspoon Spearheads Equality for Women in Film] http://t.co/MjTqNuXYjm @brentwoodfest  @RWithers…,0
@femfreq A degree in something doesn't mean you understand it. You have to live it. A degree only goes to show that you know how to recite.,0
@jayme_erasernub @femfreq It's the difference between change and fame.,0
"@jayme_erasernub @femfreq Real academic tests linking misogyny to games, approaching developers directly explaining the benefits of change.",0
@idontunderstan2 @iam8bit @femfreq @marieclaire professional scam artist.,0
"RT @theLEOpirate: Hey @josswhedon, you should watch this before continuing to associate with @femfreq &amp; @radicalbytes #GamerGate http://t.c…",0
"@femfreq ur vids r just of u playing games in the most violent way possible, going against the story. Then crying tht u can do those things.",1
RT @theLEOpirate: Maybe @femfreq should handle mean tweets the same way she handles legitimate critiques: ignore them completely #GamerGate,0
RT @doloyeung: .@femfreq doesnt understand male psychology at all.  Removing hotties doesnt lower libido it only lowers standards.,0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@gehrig38 disgusting, but unfortunately not surprising. You have a taste what @Spacekatgal, @femfreq and co. have been going through.",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
@iam8bit @femfreq @marieclaire Many of them are not trolls. They are just people fed up with all the lies this women says....,0
"@femfreq I kind of agree with you,  but when you talk about anime I don't have the feeling you know what your talking from.",0
@femfreq hey @femfreq you're fucking great. Please keep at it. All the people I care about are depending on it.,0
RT @doloyeung: You can make princess peach an acne ridden land whale if you like .@femfreq . Ill just grit my teeth and masturbate anyway #…,1
"@femfreq I wrote an essay that briefly touches on your influence on the Internet. I think you're great, and I play video games every night.",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @auntiekarkar: @femfreq http://t.co/gvn1YV7O1e ""Even the Ntn'l Abortion Federation is afraid to show what a later abortion looks like""-D…",0
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
"@femfreq http://t.co/gvn1YV7O1e ""Even the Ntn'l Abortion Federation is afraid to show what a later abortion looks like""-Dave Andrusko #Pray",0
"I honestly don't know what I feel about our friend @femfreq anymore. The word ""hatred"" no longer seems strong enough.",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"@NoMoreGamerGate @the_moviebob To be fair, he did refuse to condemn their great evil, @femfreq.",0
"RT @rachelnabors: @sigje I knooooow. She was, as @femfreq would say, the ball in other people's court. She was an object because she was no…",0
"@sigje I knooooow. She was, as @femfreq would say, the ball in other people's court. She was an object because she was not the subject.",0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @ng_geist: dear @femfreq: you do not tell us how to have fun, and you do not tell game developers how to make a living.

love, #gamergate",0
RT @femfreq: Here’s a thought provoking episode about race and gaming from @JaminWar at @pbsgameshow “Why are NPCs still racist?” https://t…,0
RT @femfreq: Our friend @imransiddiquee is making a film called Sea of Fog centering stories of people of color. Go help fund him! http://t…,0
"RT @femfreq: The argument that critiquing sexism somehow stifles creativity is absurd. It’s just the opposite, reliance on sexism suffocate…",0
"RT @femfreq: The argument that critiquing racism somehow stifles creativity is absurd. It’s just the opposite, reliance on racism suffocate…",0
"@psl_ not one of the options, only Fb, Twttr, G+ and Y! are allowed. I'm doing it on Twitter. My last bit is on @femfreq and doxxing.",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"Why are video games so sexist!? Tell me, @femfreq! You have all the answers, right!?",1
@Thinkertron2000 @femfreq  Clementine from the walking dead,0
what an amazing panel of @rgay @clementine_ford &amp; @femfreq streaming into NZ this Sunday...oh wait there's Germaine Greer NO THANKS #gross,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@Rathkor @Spacekatgal @femfreq @TheQuinnspiracy @radicalbytes @srhbutts @BenKuchera @leighalexander @ChrisWarcraft Mate - thats just silly,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@femfreq Don't be afraid of me. It's alright. I'm your friend. I understand you. I'm normally an introvert and a game developer. #SmallWorld,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@femfreq I'm sorry. I know you have pride and respect for women. Response to you is still no. #CultureProblems :-(

http://t.co/dJ11IDY5hO",1
@Cgpreisinger @iam8bit @femfreq its all good man :D,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@ChloeSeashell @femfreq reliance on sexism stifles creation you say, explains why you have been unable to complete your video series.",1
@leokira997 @iam8bit @femfreq ok then sorry I might have mis tweeted. Sorry😳,0
@ChloeSeashell @femfreq And they say we don't understand free speech.,0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @RGC_BPPA: And ahhhh, looky here what I found....guess who's now following Gail? What's up with that, @femfreq?? http://t.co/Srvvo1NryK",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"Of course, follows do not necessarily mean endorsement..but still, @femfreq's man @radicalbytes has promoted antiporn BS in the past.",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"And ahhhh, looky here what I found....guess who's now following Gail? What's up with that, @femfreq?? http://t.co/Srvvo1NryK",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@UnseenPerfidy @femfreq like a GGer told me at length recently ""liberal arts is bullshit"" and ""critics should strive to be objective"" 
lmao",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@EscapeVelo @femfreq This goes out to her supporters who expect her to finish projects in a timely manner. https://t.co/OUii6M4yWC,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@UnseenPerfidy @femfreq FOREVER.,0
"This one goes out to Anita Sarkeesian of @femfreq 

Cult of Personality - Living Colour #GamerGate 

https://t.co/7j66Y0QH1R",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@megamandaplays @femfreq Welcome! :D,0
